project,lines_of_code
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\15Moners,26848
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\187990,1101
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\200502002,5662
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\51lslcscyber,7749
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\9harshit,208
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\A-Jacobson,1753
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\abhiTronix,120530
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\activeloopai,49433
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\AdaptiveSubgoalSearch,94485
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\adevinta,5368
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\aditi-bidgely,151909
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ahnGeo,16686
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\AHNU2019,27321
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\AI4Bharat,401584
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ain-soph,15764
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Ajyy,240845
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\akachbat,79394
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\AlexanderMath,2549
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\AlexGeniusMan,16009
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\alexhernandezgarcia,9397
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\alirezakazemipour,844
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Allen8838,2441
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Aminullah6264,243145
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\amundsen-io,26494
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\amyxzhang,77469
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\andreeadeac22,155174
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\anilksistla,5667
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\anjosma,203899
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\anonymous98762022,3835017
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\AnReu,1310
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\antique-gen,15857
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\anton164,3664
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\anugyas,61975
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\AnujMahajanOxf,4597
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\apachecn,77792
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\aqillakhamis,21320
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\arthurmensch,6116
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\artyom-beilis,5024321
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Ascend,4179212
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\AshwinBalaji52,1317
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\authoranonymous321,6440
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\autognc,6937
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\autorope,25703
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\aviresler,15959
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\aws-samples,128543
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\awslabs,78962
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ayushkarnawat,7258
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\bainro,46137
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\balister,1241821
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\BBQuercus,5067
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\bearsroom,107346
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Bellman-devs,9404
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\bertagnolli,44479
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\bigdata-3team,138930
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\bill-teng,135320
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\BlackQAQ,5910
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Boilevin,513486
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\boostcampaitech3,876
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\BorgwardtLab,3124
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\brad-ross,35622
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\BraunMichael,51043
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\brightmart,12997
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\broadinstitute,91224
