repo_name,number_contributor,number_stars,created_date,description,language,number_commit,sloc
xgyutu/yolov7,1,0,2022-12-03T09:45:26Z,,Jupyter Notebook,0,35091
activeloopai/deeplake,30,5298,2019-08-09T06:17:59Z,"Data Lake for Deep Learning. Build, manage, query, version, & visualize datasets. Stream data real-time to PyTorch/TensorFlow. https://activeloop.ai ",Python,2203,64822
ximitiejiang/deep_learning_algorithm,1,13,2019-01-24T04:14:13Z,object detection algorithms and training framework by pytorch,Python,208,180780
aditi-bidgely/Amundsen,2,0,2021-08-04T13:34:18Z,,Python,0,6608
gopitummala/mlclass,8,0,2018-07-26T23:56:16Z,,Python,278,16666
okly366/pytorch,30,0,2020-04-26T16:44:51Z,,C++,26077,138950
ds-wook/jobcare-recommendation,1,8,2021-12-21T07:47:03Z,🥉잡케어 추천 알고리즘 경진대회🥉,Python,0,101
ppjj977/Dall-e,15,0,2022-06-10T08:42:59Z,,Python,0,12436
nickhuang1996/Dogs_vs_Cats_TensorFlow_Keras,1,4,2019-12-12T09:35:12Z,"Using Keras(TensorFlow) for Dogs vs, Cats match",Python,3,23
TengHuo/Realtime-sEMG,1,3,2019-03-21T22:31:56Z,,Jupyter Notebook,124,4983
wangkai930418/HCV_IIRC,1,13,2021-10-20T16:26:37Z,"code for our BMVC 2021 paper ""HCV: Hierarchy-Consistency Verification for Incremental Implicitly-Refined Classification""",Python,0,2180
YingHuCS/satdetection_withAPI,1,0,2020-03-01T13:35:06Z,satellite image detection with restAPI,Python,3,241
erickdp/argos-backend,1,0,2022-08-27T22:32:32Z,🤖 Real Time Helmet Detection ARGOS,Python,22,29677
csadrian/global-autoencoders,2,0,2020-05-09T15:18:47Z,,Python,70,68
VISION-SJTU/PointAugmenting,1,77,2022-01-10T08:07:24Z,[CVPR2021] PointAugmenting: Cross-Modal Augmentation for 3D Object  Detection,Python,0,962
aam-at/margin_maximization,1,0,2017-07-02T12:30:47Z,"Reference implementation of ""Margin Maximization for Robust Classification using Deep Learning""",Python,2,4110
AdaptiveSubgoalSearch/adaptive_subs,1,6,2022-05-18T10:56:54Z,Adaptive Subgoal Search,Python,1,6452
chowkamlee81/CentrePointNet,3,10,2020-08-15T03:28:52Z,,Jupyter Notebook,20,4612
jwwangchn/mmcv-nwd,30,3,2021-03-22T12:36:54Z,MMCV for Normalized Wasserstein Distance,Python,0,7513
Artem1280/Sia-Tracking,1,2,2021-12-12T05:33:19Z,A general-purpose tool for dynamic report generation in Python,Python,0,8280
jeromverschoote/dotfiles,1,0,2021-02-17T22:08:53Z,A repo for keeping my dotfiles and applications neat and organized.,Python,0,264622
