library,path,html_url,repository_full_name
from%2Bwhylogs.json,tensorboard/plugins/custom_scalar/custom_scalars_plugin_test.py,https://github.com/neerajsy/what-if/blob/7efbdf26e9ae7043de51018853b56e072fb4e053/tensorboard/plugins/custom_scalar/custom_scalars_plugin_test.py,neerajsy/what-if
from%2Bwhylogs.json,tensorboard/examples/plugins/example_raw_scalars/tensorboard_plugin_example_raw_scalars/plugin.py,https://github.com/xianglinyang/tensorboardVis/blob/2c5b96fc2f99e9558b8d133ab081b58030df30f6/tensorboard/examples/plugins/example_raw_scalars/tensorboard_plugin_example_raw_scalars/plugin.py,xianglinyang/tensorboardVis
from%2Bwhylogs.json,tensorboard/compat/tensorflow_stub/__init__.py,https://github.com/gerard0315/klab_tensorboard/blob/482113d2378661c2c659b5ab250e6a5471e920a8/tensorboard/compat/tensorflow_stub/__init__.py,gerard0315/klab_tensorboard
from%2Bwhylogs.json,utils.py,https://github.com/j-min/Adversarial_Video_Summary/blob/25c7955f44c5a770dc41d4f2c2829dd77f5aa13e/utils.py,j-min/Adversarial_Video_Summary
from%2Bwhylogs.json,tensorboard/summary/writer/event_file_writer_s3_test.py,https://github.com/qzhong0605/tensorboardplugins/blob/92bfc7ca96b933cdbdf074a08f26f5c715d8421d/tensorboard/summary/writer/event_file_writer_s3_test.py,qzhong0605/tensorboardplugins
from%2Bwhylogs.json,modules/HTTPRequest/projector/mnist-tensorboard-embeddings/tensorboard/tensorboard/plugins/custom_scalar/custom_scalars_plugin_test.py,https://github.com/dunkelhaus/cancerTherapy/blob/15315691bcf661deadc50d4da983b5f834cd02f8/modules/HTTPRequest/projector/mnist-tensorboard-embeddings/tensorboard/tensorboard/plugins/custom_scalar/custom_scalars_plugin_test.py,dunkelhaus/cancerTherapy
from%2Bwhylogs.json,torch/utils/tensorboard/_proto_graph.py,https://github.com/tomdburns/FoCAS/blob/bceb3cbff9b13da8af10f40b5bc1666e0733ea00/torch/utils/tensorboard/_proto_graph.py,tomdburns/FoCAS
from%2Bwhylogs.json,tensorboard/tensorboard/util/grpc_util_test.py,https://github.com/xianglinyang/DeepVisualInsight/blob/42b39a1fc392042e52452db02b15d7d02fc0d199/tensorboard/tensorboard/util/grpc_util_test.py,xianglinyang/DeepVisualInsight
from%2Bwhylogs.json,tensorboard/tensorboard/uploader/logdir_loader_test.py,https://github.com/xianglinyang/DeepVisualInsight/blob/42b39a1fc392042e52452db02b15d7d02fc0d199/tensorboard/tensorboard/uploader/logdir_loader_test.py,xianglinyang/DeepVisualInsight
from%2Bwhylogs.json,xxxxx.py,https://github.com/xtwxfxk/left5/blob/993b15950d1d64cb8e92641cca086e0e39ee8a85/xxxxx.py,xtwxfxk/left5
from%2Bwhylogs.json,keras2/callbacks/__init__.py,https://github.com/dlafieldPersonal/dissertationResearch/blob/263925f5090b7593e2a4180c9b4e1f32663b8da0/keras2/callbacks/__init__.py,dlafieldPersonal/dissertationResearch
from%2Bwhylogs.json,docker-bert-ja/torch/utils/tensorboard/_proto_graph.py,https://github.com/schunsukesuzuki/bert_qa/blob/02510444a45f81af681e1c99361622d10e21503b/docker-bert-ja/torch/utils/tensorboard/_proto_graph.py,schunsukesuzuki/bert_qa
from%2Bwhylogs.json,plugin/tensorboard_plugin_profile/demo/profile_demo.py,https://github.com/tensorflow/profiler/blob/6e8bff094674f8d86e464823044033ba8e76672c/plugin/tensorboard_plugin_profile/demo/profile_demo.py,tensorflow/profiler
