repository_full_name,number_contributor,number_stars,created_date,description,language,number_commit,sloc
autognc/ravenML-train-plugins,2,2,2019-11-11T18:35:53Z,Companion repo to DeepForest for training large models from DeepForest python package.,Python,342,28091
nuri428/deep-learning,2,3,2021-05-07T12:44:44Z,Modeling of Earth’s Radiation Environment.,Python,164,60
kyper999/Theano,2,7,2021-03-11T16:19:57Z,Text preprocessing package for use in NLP tasks https://pypi.org/project/textcl/,Python,25581,912
Samanvitha3740/mle-2.2_mlflow,4,120,2019-07-26T23:10:04Z,Toolkit to train base-resolution deep neural networks on functional genomics data and to interpret them,Jupyter Notebook,3755,4288
EzSylester/DeepLearningTutorials-,2,264,2019-09-26T20:42:39Z,PyTorch Implementations For A Series Of Deep Learning-Based Recommendation Models,Python,886,655968
fbdesignpro/sweetviz,4,2,2020-02-12T19:56:53Z,End-to-end trainable mask generation,Python,103,210
gmum/mlls2015,4,3,2021-10-23T02:57:58Z,,Python,231,137241
ombg/tensorberg,2,6,2019-09-08T14:09:58Z,Process Improvement using Data,Python,185,6106
panaali/bilmo,30,1679,2018-06-10T21:31:23Z,A toolkit for reproducible reinforcement learning research.,Python,110,60358
rstudio/mlflow-original,15,92,2020-01-05T16:35:12Z,"This package features data-science related tasks for developing new recognizers for Presidio. It is used for the evaluation of the entire system, as well as for evaluating specific PII recognizers or PII detection models.",Python,507,2713
BorgwardtLab/topo-ae-distances,2,2,2019-08-30T08:58:15Z,,Python,484,207661
eric-erki/mlflow,2,6,2020-09-21T08:27:50Z,,Jupyter Notebook,284,40901
MutsukiMoon/MyScikitLearn,2,3,2021-11-06T14:47:33Z,,Python,26505,24582
bainro/garage,2,78,2017-07-20T12:53:46Z,Implementation of several black-box optimisation methods to tune hyperparameters of machine learning models.,Python,817,280
kaufmann-a/ETH_MP-Human-Pose-Prediction,3,13,2020-01-21T12:18:36Z,"Building on the MLFlow toolset this project aims to extend the functionality for MLFlow, increase the automation and therefore reduce the workload for the user. The production of structured results is an additional goal of the extension.",Python,274,6863
SarangGawane/transformers-metarl,3,5,2022-07-11T16:06:22Z,LeManchot-Analysis is a system for abnormal detection in coupled visible-thermal images,Python,1174,83794
davidtangGT/MOF_color,10,8,2018-03-10T21:43:44Z,PCB Satellite Repository,C,114,25962
callaunchpad/Inspector,4,47,2020-07-07T15:20:30Z,The Verifiably Safe Reinforcement Learning Framework,Python,161,2018
nirvanacafe/scikit-learn,4,57,2019-02-19T13:27:27Z,"MSc group project: Reproduction of 'Multi-Task Learning using Uncertainty to Weigh Losses for Scene Geometry and Semantics'; A. Kendall, Y. Gal, R. Cipolla",Jupyter Notebook,22275,12724
Jwuthri/Maupassant,2,4,2019-05-14T13:27:58Z,,Python,160,50845
HumanCompatibleAI/adversarial-policies,5,3,2018-11-28T05:03:12Z,DFP Course Project,Python,472,5359
kundan2510/theano-cudnn-rnn,2,22,2018-07-24T21:56:27Z,MLflow samples - deprecated,Python,23069,690
hahnicity/ardsdetection,2,3,2017-10-21T22:39:18Z,This is the repository for ece496 facial expression transfering project,C++,344,80997
manishrdmishra/Thesis,4,2,2021-09-23T20:39:13Z,,Jupyter Notebook,4350,24588
Ascend/ModelZoo-PyTorch,2,47,2019-05-15T01:53:30Z,"Re-Implementation of ""Image Inpainting for Irregular Holes using Partial Convolution""",Python,5786,3246
hahayonghuming/VDACs,2,5,2020-10-19T13:57:24Z,,Jupyter Notebook,151,12687
