repository_full_name,num_stars,num_forks,num_contributor,num_commit
OmdenaAI/omdena-philippines-renewable,32,7,11,129
autorope/donkeycar,2216,1144,110,2126
ericlavigne/CarND-Capstone-Wolf-Pack,40,23,15,221
anton164/predicting-citation-counts,2,0,3,176
nitishtalekar/ProjectsGit,1,2,3,441
dpressel/mead-baseline,241,68,11,2092
georgetown-analytics/Air-Pollution,1,2,5,106
embedded-bitai/EMP,1,6,5,102
SharpAI/DeepCamera,858,175,9,844
StrayCamel247/Django_web,58,13,2,129
georgedimitriadis/themeaningofbrain,2,1,3,143
AI4Bharat/OpenHands,10,0,3,111
gmum/mlls2015,15,6,2,231
apachecn/ailearning,32770,10758,41,207
Uberi/speech_recognition,6156,2116,40,376
jaydu1/VITAE,14,6,3,459
maldil/R-CPATMiner,4,0,3,156
weilu/moneycat,1,2,3,188
st-tech/zr-obp,362,47,11,960
pykale/pykale,321,39,13,1770
mvlearn/mvlearn,127,19,16,600
deliciafernandes/Response,1,0,8,102
wassinkl/Vigilantes,1,0,9,219
pylayers/pylayers,135,87,8,4289
brad-ross/crop-yield-prediction-project,25,25,3,141
amyxzhang/wikum,103,32,13,1403
OSeMOSYS/osemosys_global,3,3,6,213
appoll/gh-repo-classifier,6,2,4,319
pysal/segregation,89,24,10,1080
MizarAI/mizar-labs,15,4,3,106
deepset-ai/FARM,1502,218,110,592
NVIDIA/DeepLearningExamples,7810,2256,79,1089
andreeadeac22/graph_coattention,13,4,4,115
dmitriy-serdyuk/twinnet-asr,12,3,3,955
nikogamulin/deep-learning-python,1,0,18,635
rizar/attention-lvcsr,259,106,4,945
rwth-i6/returnn,313,128,48,9139
abhiTronix/caffe-opencl-windows-amd,7,2,261,5104
VirrageS/io-kawiarnie,1,0,4,430
gheinrich/DIGITS-GAN,104,35,34,1486
NVIDIA/DIGITS,4053,1411,42,1613
MajerMartin/image_retrieval,2,0,2,158
spacetiller/experiment,1,0,2,279
mlcommons/tiny,166,42,12,196
deepmipt/DeepPavlov,5625,1012,66,2611
OCR-D/ocrd_keraslm,5,6,4,103
deepgram/kur,812,109,12,584
goeckslab/Galaxy-ML,9,5,6,662
mindee/doctr,616,94,12,571
wangqianwen0418/DNN-Genealogy,19,4,3,395
awslabs/handwritten-text-recognition-for-apache-mxnet,383,184,7,150
mli/new-docs,12,17,15,422
smihir/gdml,1,1,2,122
tmpaul06/dgl,1,0,24,417
jeongukjae/tfds-korean,20,2,2,137
i-Dare/Science4Fashion_ref,1,0,3,204
zaidhassanch/PointerNetworks,1,0,2,344
north-fern/ME-134,1,1,2,250
Ceyron/machine-learning-and-simulation,97,39,3,150
tensorflow/moonlight,275,65,6,139
EKYoonD/StockHelper,2,2,5,171
bigdata-3team/Sign-Language-Translator,1,1,4,136
AlexanderMath/itf,1,0,2,120
WorldCapital/tf-quant-finance,1,0,27,602
ufal/neuralmonkey,398,106,17,2831
HumanCompatibleAI/learning-from-human-preferences,3,5,3,652
lzil/procedural-generalization,3,2,3,207
umd-fire-coml/MultiSeg,6,3,5,268
google-research/federated,288,102,33,457
livey/scalable_maddpg,43,11,2,164
Eleven-Z/tf-encrypted,1,0,24,590
LuchnikovI/QGOpt,35,3,4,368
deepdrive/deepdrive,739,125,5,831
tariqdaouda/Spyrkle,2,3,2,108
artyom-beilis/dlprimitives,42,4,2,311
Jungjee/RawNet,168,41,2,131
opendilab/DI-engine,404,73,23,315
victoresque/pytorch-template,3174,789,9,233
crs4/deep_framework,4,0,2,392
ocropus/ocropus4,11,5,2,560
joycex99/adversarial-training,9,0,5,213
revbucket/geometric-certificates,34,2,2,165
revbucket/mister_ed,68,10,4,210
brightmart/text_classification,7243,2569,11,318
D-X-Y/AutoDL-Projects,1339,263,6,534
jcpeterson/cifar10-human-experiments,2,1,2,327
mdhiebert/meta-minichess,1,0,2,132
horovod/horovod,12185,2020,142,1153
ncsu-landscape-dynamics/LAMP_assay_automation,1,1,3,195
jkuck/BPNN,8,2,2,185
matterport/Mask_RCNN,21349,10586,203,42
chris-chris/pysc2-examples,743,362,5,190
muammar/ml4chem,77,14,2,432
ain-soph/trojanzoo,128,32,7,1243
mlab-upenn/ISP2021-object_detection,2,2,3,248
isi-nlp/rtg,21,4,4,1179
PyTorchRL/pytorchrl,15,2,3,787
pyro-ppl/pyro,7322,895,111,2304
kiudee/cs-ranking,59,14,4,853
hypnopump/rgn2-replica,29,13,4,212
yangcyself/CS385ML,2,2,3,232
cisco/mindmeld,554,148,36,3176
Voice-Privacy-Challenge/Voice-Privacy-Challenge-2022,11,3,7,393
nii-yamagishilab/project-NN-Pytorch-scripts,135,26,2,226
nanoporetech/taiyaki,102,39,10,768
NLESC-JCER/QMCTorch,15,2,3,1070
pytorch/botorch,2201,248,55,1096
statisticallyfit/PythonNeuralNetNLP,2,0,2,655
speechbrain/speechbrain,3760,698,81,5969
rbg-research/AI-Training,1,16,14,160
